PLAYER,TEAM,NUMBER,POSITION,Height,Weight,LAST ATTENDED,COUNTRY,Position
"Admiral
Schofield",ORL,25,2,77,241,Tennessee,United Kingdom,
"Dennis
Schroder",BKN,17,0,73,175,Braunschweig,Germany,
"Dereon
Seabron",NOP,0,0,77,180,North Carolina State,USA,
"Alperen
Sengun",HOU,28,4,83,243,Besiktas,Turkey,
"Brice
Sensabaugh",UTA,8,2,77,235,Ohio State,USA,
"Collin
Sexton",UTA,2,0,75,190,Alabama,USA,
"Landry
Shamet",WAS,20,0,76,190,Wichita State,USA,
"Day'Ron
Sharpe",BKN,20,4,81,265,North Carolina,USA,
"Shaedon
Sharpe",POR,17,0,77,205,Kentucky,Canada,
"Ben
Sheppard",IND,26,0,78,190,Belmont,USA,
"Pascal
Siakam",IND,43,2,80,245,New Mexico State,Cameroon,
"Ben
Simmons",BKN,10,1,82,240,Louisiana State,Australia,
"Anfernee
Simons",POR,1,0,75,193,Edgewater HS (FL),USA,
"Jericho
Sims",NYK,45,4,82,250,Texas,USA,
"Jalen
Slawson",SAC,18,2,79,215,Furman,USA,
"Marcus
Smart",MEM,36,0,75,220,Oklahoma State,USA,
"Jalen
Smith",IND,25,3,81,215,Maryland,USA,
"Terquavion
Smith",PHI,23,0,76,160,North Carolina State,USA,
"Dennis
Smith Jr.",BKN,4,0,75,205,North Carolina State,USA,
"Jabari
Smith Jr.",HOU,10,2,83,220,Auburn,USA,
"Nick
Smith Jr.",CHA,8,0,74,185,Arkansas,USA,
"Jeremy
Sochan",SAS,10,2,80,230,Baylor,Poland,
"Pat
Spencer",GSW,61,0,75,205,Northwestern,USA,
"Jaden
Springer",BOS,44,0,76,202,Tennessee,USA,
"Lamar
Stevens",MEM,24,2,79,230,Penn State,USA,
"Isaiah
Stewart",DET,28,3,80,250,Washington,USA,
"Julian
Strawther",DEN,3,0,78,205,Gonzaga,USA,
"Max
Strus",CLE,1,1,77,215,DePaul,USA,
"Jalen
Suggs",ORL,4,0,77,205,Gonzaga,USA,
"Cole
Swider",MIA,21,2,80,220,Syracuse,USA,
"Jae'Sean
Tate",HOU,8,2,76,230,Ohio State,USA,
"Jayson
Tatum",BOS,0,1,80,210,Duke,USA,
"Garrett
Temple",TOR,17,1,77,195,Louisiana State,USA,
"Dalen
Terry",CHI,25,2,79,195,Arizona,USA,
"Daniel
Theis",LAC,10,3,80,245,Brose Bamberg,Germany,
"Cam
Thomas",BKN,24,0,75,210,Louisiana State,Japan,
"Isaiah
Thomas",PHX,4,0,69,185,Washington,USA,
"Amen
Thompson",HOU,1,1,79,200,Overtime Elite,USA,
"Ausar
Thompson",DET,9,1,78,205,Overtime Elite,USA,
"Klay
Thompson",GSW,11,0,78,220,Washington State,USA,
"Tristan
Thompson",CLE,13,3,81,254,Texas-Austin,Canada,
"JT
Thor",CHA,21,2,81,203,Auburn,USA,
"Matisse
Thybulle",POR,4,1,77,201,Washington,USA,
"Xavier
Tillman",BOS,26,2,79,245,Michigan State,USA,
"Jacob
Toppin",NYK,0,2,80,200,Kentucky,USA,
"Obi
Toppin",IND,1,2,81,220,Dayton,USA,
"Karl-Anthony
Towns",MIN,32,3,84,248,Kentucky,USA,
"Gary
Trent Jr.",TOR,33,0,77,204,Duke,USA,
"Oscar
Tshiebwe",IND,44,3,80,255,Kentucky,DRC,
"P.J.
Tucker",LAC,17,2,77,245,Texas,USA,
"Myles
Turner",IND,33,3,83,250,Texas,USA,
