PLAYER,TEAM,NUMBER,POSITION,Height,Weight,LAST ATTENDED,COUNTRY,Position
"Tyrese
Haliburton",IND,0,0,77,185,Iowa State,USA,
"Tim
Hardaway Jr.",DAL,10,1,77,205,Michigan,USA,
"James
Harden",LAC,1,0,77,220,Arizona State,USA,
"Jaden
Hardy",DAL,1,0,75,198,NBA G League Ignite,USA,
"Gary
Harris",ORL,14,0,76,210,Michigan State,USA,
"Kevon
Harris",ORL,8,0,77,216,Stephen F. Austin,USA,
"Tobias
Harris",PHI,12,2,80,226,Tennessee,USA,
"Josh
Hart",NYK,3,0,76,215,Villanova,USA,
"Isaiah
Hartenstein",NYK,55,3,84,250,Zalgiris,Germany,
"Sam
Hauser",BOS,30,2,79,217,Virginia,USA,
"Jordan
Hawkins",NOP,24,0,77,190,Connecticut,USA,
"Jaxson
Hayes",LAL,11,3,84,220,Texas,USA,
"Gordon
Hayward",OKC,33,2,79,225,Butler,USA,
"Scoot
Henderson",POR,0,0,75,202,NBA G League Ignite,USA,
"Taylor
Hendricks",UTA,0,2,81,215,Central Florida,USA,
"Tyler
Herro",MIA,14,0,77,195,Kentucky,USA,
"Buddy
Hield",PHI,17,0,76,220,Oklahoma,Bahamas,
"Haywood
Highsmith",MIA,24,2,77,220,Wheeling Jesuit,USA,
"Malcolm
Hill",NOP,33,2,78,220,Illinois,USA,
"Nate
Hinton",HOU,14,1,77,210,Houston,USA,
"Aaron
Holiday",HOU,0,0,72,185,UCLA,USA,
"Jrue
Holiday",BOS,4,0,76,205,UCLA,USA,
"Justin
Holiday",DEN,9,1,78,180,Washington,USA,
"Richaun
Holmes",WAS,22,2,81,235,Bowling Green,USA,
"Chet
Holmgren",OKC,7,3,85,208,Gonzaga,USA,
"Jalen
Hood-Schifino",LAL,0,0,77,215,Indiana,USA,
"Al
Horford",BOS,42,3,81,240,Florida,Dominican Republic,
"Talen
Horton-Tucker",UTA,5,0,76,234,Iowa State,USA,
"Caleb
Houstan",ORL,2,0,80,205,Michigan,Canada,
"Jett
Howard",ORL,13,0,78,215,Michigan,USA,
"Kevin
Huerter",SAC,9,1,79,198,Maryland,USA,
"Jay
Huff",DEN,30,4,85,240,Virginia,USA,
"De'Andre
Hunter",ATL,12,1,80,221,Virginia,USA,
"Bones
Hyland",LAC,5,0,74,169,Virginia Commonwealth,USA,
"Joe
Ingles",ORL,7,1,81,220,Maccabi Tel Aviv,Australia,
"Brandon
Ingram",NOP,14,2,80,190,Duke,USA,
"Kyrie
Irving",DAL,11,0,74,195,Duke,Australia,
"Jonathan
Isaac",ORL,1,2,82,230,Florida State,USA,
"Jaden
Ivey",DET,23,0,76,195,Purdue,USA,
"GG
Jackson",MEM,45,2,81,210,South Carolina,USA,
"Isaiah
Jackson",IND,22,2,81,205,Kentucky,USA,
"Quenton
Jackson",IND,29,0,77,173,Texas A&M,USA,
"Reggie
Jackson",DEN,7,0,74,208,Boston College,USA,
"Andre
Jackson Jr.",MIL,44,0,78,209,Connecticut,USA,
"Jaren
Jackson Jr.",MEM,13,3,82,242,Michigan State,USA,
"Trayce
Jackson-Davis",GSW,32,2,81,245,Indiana,USA,
"LeBron
James",LAL,23,2,81,250,St. Vincent-St. Mary HS (OH),USA,
"Jaime
Jaquez Jr.",MIA,11,0,78,225,UCLA,USA,
"DaQuan
Jeffries",NYK,8,1,77,222,Tulsa,USA,
"Trey
Jemison",MEM,55,4,82,260,Alabama-Birmingham,USA,
"Ty
Jerome",CLE,2,1,77,195,Virginia,USA,
"Isaiah
Joe",OKC,11,0,75,165,Arkansas,USA,
"Cameron
Johnson",BKN,2,2,80,210,North Carolina,USA,
"Jalen
Johnson",ATL,1,2,80,219,Duke,USA,
"James
Johnson",IND,16,2,79,240,Wake Forest,USA,
"Keldon
Johnson",SAS,3,1,77,220,Kentucky,USA,
"Keon
Johnson",BKN,45,0,77,185,Tennessee,USA,
"Keyontae
Johnson",OKC,18,2,76,230,Kansas State,USA,
"Nikola
Jokic",DEN,15,4,83,284,Mega Basket,Serbia,
"Colby
Jones",SAC,20,0,78,207,Xavier,USA,
"Damian
Jones",CLE,30,4,82,245,Vanderbilt,USA,
"Herbert
Jones",NOP,5,2,79,206,Alabama,USA,
"Kai
Jones",LAC,23,3,83,221,Texas,Bahamas,
"Mason
Jones",SAC,8,0,76,200,Arkansas,USA,
"Tre
Jones",SAS,33,0,73,185,Duke,USA,
"Tyus
Jones",WAS,5,0,73,196,Duke,USA,
"Derrick
Jones Jr.",DAL,55,2,78,210,UNLV,USA,
"DeAndre
Jordan",DEN,6,4,83,265,Texas A&M,USA,
"Nikola
Jovic",MIA,5,2,82,205,Mega Basket,Serbia,
"Johnny
Juzang",UTA,33,0,77,209,UCLA,USA,
"Luke
Kennard",MEM,10,0,77,206,Duke,USA,
"Walker
Kessler",UTA,24,4,84,245,Auburn,USA,
"Braxton
Key",DEN,11,2,80,225,Virginia,USA,
"Corey
Kispert",WAS,24,2,78,224,Gonzaga,USA,
"Maxi
Kleber",DAL,42,2,82,240,Bayern Munich,Germany,
"John
Konchar",MEM,46,0,77,210,Indiana-Purdue Fort Wayne,USA,
"Luke
Kornet",BOS,40,3,85,250,Vanderbilt,USA,
"Vit
Krejci",ATL,27,0,80,195,Zaragoza,Czech Republic,
"Jonathan
Kuminga",GSW,0,2,79,225,NBA G League Ignite,DRC,
"Kyle
Kuzma",WAS,33,2,81,221,Utah,USA,
"Jake
LaRavia",MEM,3,2,79,235,Wake Forest,USA,
"Zach
LaVine",CHI,8,0,77,200,UCLA,USA,
"Jock
Landale",HOU,2,4,83,255,St. Mary's,Australia,
"A.J.
Lawson",DAL,9,0,78,179,South Carolina,Canada,
"Caris
LeVert",CLE,3,0,78,205,Michigan,USA,
"Damion
Lee",PHX,10,1,78,210,Drexel,USA,
"Saben
Lee",PHX,38,0,74,183,Vanderbilt,USA,
"Alex
Len",SAC,25,4,84,250,Maryland,Ukraine,
"Kawhi
Leonard",LAC,2,2,79,225,San Diego State,USA,
"Maxwell
Lewis",LAL,21,2,79,195,Pepperdine,USA,
"Kira
Lewis Jr.",UTA,13,0,73,170,Alabama,USA,
"E.J.
Liddell",NOP,32,2,78,240,Ohio State,USA,
"Damian
Lillard",MIL,0,0,74,195,Weber State,USA,
"Nassir
Little",PHX,25,1,78,220,North Carolina,USA,
"Dereck
Lively II",DAL,2,4,85,230,Duke,USA,
"Chris
Livingston",MIL,7,2,78,220,Kentucky,USA,
"Kenneth
Lofton Jr.",UTA,35,2,78,275,Louisiana Tech,USA,
"Kevon
Looney",GSW,5,2,81,222,UCLA,USA,
"Brook
Lopez",MIL,11,4,85,282,Stanford,USA,
"Kevin
Love",MIA,42,3,80,251,UCLA,USA,
"Kyle
Lowry",PHI,7,0,72,196,Villanova,USA,
"Seth
Lundy",ATL,3,1,76,220,Penn State,USA,
"Trey
Lyles",SAC,41,2,81,234,Kentucky,Canada,
"Sandro
Mamukelashvili",SAS,54,3,81,240,Seton Hall,Georgia,
"Terance
Mann",LAC,14,1,77,215,Florida State,USA,
"Tre
Mann",CHA,23,0,75,178,Florida,USA,
"Boban
Marjanovic",HOU,51,4,88,290,Crvena zvezda,Serbia,
"Lauri
Markkanen",UTA,23,3,84,240,Arizona,Finland,
"Naji
Marshall",NOP,8,2,78,220,Xavier,USA,
"Caleb
Martin",MIA,16,2,77,205,Nevada,USA,
"Cody
Martin",CHA,11,2,78,205,Nevada,USA,
"Jaylen
Martin",BKN,16,0,78,216,Overtime Elite,USA,
"KJ
Martin",PHI,1,2,78,215,IMG Academy (FL),USA,
"Garrison
Mathews",ATL,25,0,78,215,Lipscomb,USA,
"Bennedict
Mathurin",IND,0,1,77,210,Arizona,Canada,
"Wesley
Matthews",ATL,32,0,77,220,Marquette,USA,
"Tyrese
Maxey",PHI,0,0,74,200,Kentucky,USA,
"Skylar
Mays",LAL,4,0,75,205,Louisiana State,USA,
"Miles
McBride",NYK,2,0,73,195,West Virginia,USA,
"CJ
McCollum",NOP,3,0,75,190,Lehigh,USA,
"T.J.
McConnell",IND,9,0,73,190,Arizona,USA,
"Jaden
McDaniels",MIN,3,2,81,185,Washington,USA,
"Jalen
McDaniels",TOR,2,2,81,190,San Diego State,USA,
"Doug
McDermott",IND,20,2,78,225,Creighton,USA,
"JaVale
McGee",SAC,0,3,84,270,Nevada,USA,
"Bryce
McGowens",CHA,7,0,78,175,Nebraska,USA,
"Jordan
McLaughlin",MIN,6,0,72,185,Southern California,USA,
"De'Anthony
Melton",PHI,8,0,75,200,Southern California,USA,
"Sam
Merrill",CLE,5,0,76,205,Utah State,USA,
"Chimezie
Metu",DET,4,3,82,225,Southern California,USA,
"Vasilije
Micic",CHA,22,0,75,188,Serbia,Serbia,
"Khris
Middleton",MIL,22,2,79,222,Texas A&M,USA,
"Brandon
Miller",CHA,24,2,79,200,Alabama,USA,
"Jordan
Miller",LAC,11,0,77,194,Miami,USA,
"Leonard
Miller",MIN,33,2,82,210,NBA G League Ignite,Canada,
"Patty
Mills",MIA,8,0,74,180,St. Mary's,Australia,
"Shake
Milton",NYK,13,1,77,205,Southern Methodist,USA,
"Justin
Minaya",POR,24,2,77,205,Providence,USA,
